ESPN Ranking,Player,Age,Default Position ID
1,Nathan MacKinnon,,1
2,Connor McDavid,29.0,1
3,Nikita Kucherov,,3
4,Macklin Celebrini,,1
5,Jason Robertson,27.0,2
6,David Pastrnak,30.0,3
7,Matt Boldy,,2
8,Auston Matthews,,1
9,Zach Werenski,,4
10,Filip Forsberg,,2
11,Cole Caufield,25.0,2
12,Brady Tkachuk,,2
13,Leon Draisaitl,30.0,1
14,Alex DeBrincat,28.0,2
15,Cale Makar,,4
16,Evan Bouchard,26.0,4
17,Kyle Connor,,2
18,Alex Tuch,,3
19,Tage Thompson,28.0,1
20,Jake Guentzel,,2
21,Kirill Kaprizov,,2
22,Andrei Vasilevskiy,,5
23,Nick Suzuki,27.0,1
24,Jack Eichel,,1
25,Moritz Seider,25.0,4
26,Wyatt Johnston,23.0,1
27,Matthew Tkachuk,,3
28,Mika Zibanejad,,1
29,Artemi Panarin,34.0,2
30,Zach Hyman,34.0,3
31,Martin Necas,,3
32,Noah Dobson,26.0,4
33,William Nylander,,3
34,Clayton Keller,,2
35,Adrian Kempe,30.0,3
36,Cutter Gauthier,,2
37,Matthew Schaefer,,4
38,Alex Ovechkin,,2
39,Steven Stamkos,,1
40,Mark Scheifele,,1
41,Tim Stutzle,,1
42,MacKenzie Weegar,,4
43,Roman Josi,,4
44,Sam Reinhart,,3
45,Jakob Chychrun,,4
46,Dylan Larkin,30.0,1
47,Dylan Guenther,,3
48,Rasmus Dahlin,26.0,4
49,Nico Hischier,27.0,1
50,Scott Wedgewood,,5
51,Quinn Hughes,,4
52,Jack Hughes,25.0,1
53,Jake Oettinger,27.0,5
54,Logan Thompson,,5
55,Timo Meier,29.0,2
56,Sebastian Aho,29.0,1
57,Juraj Slafkovsky,22.0,2
58,Brandon Hagel,,2
59,Kirill Marchenko,,2
60,Seth Jarvis,24.0,3
61,Vincent Trocheck,,1
62,Elias Pettersson,,1
63,Mitch Marner,,3
64,Pavel Dorofeyev,,3
65,John Carlson,,4
66,Sidney Crosby,,1
67,Owen Tippett,,3
68,Drake Batherson,,3
69,Bo Horvat,31.0,1
70,Dylan Cozens,,1
71,Nick Schmaltz,,1
72,Karel Vejmelka,,5
73,Brock Nelson,,1
74,Sergei Murashov,,5
75,Dylan Holloway,,2
76,Mikko Rantanen,29.0,3
77,John Tavares,,1
78,Bryan Rust,,3
79,Adam Fantilli,,1
80,Aleksander Barkov,,1
81,Nazem Kadri,,1
82,Rasmus Andersson,,4
83,Jesper Bratt,28.0,3
84,Andrei Svechnikov,26.0,2
85,Nikolaj Ehlers,30.0,2
86,J.T. Miller,,1
87,Tomas Hertl,,1
88,Ilya Sorokin,31.0,5
89,Patrick Kane,37.0,3
90,Morgan Geekie,28.0,3
91,Jake Sanderson,,4
92,Darren Raddysh,,4
93,Linus Ullmark,,5
94,Thomas Chabot,,4
95,Igor Shesterkin,,5
96,Lucas Raymond,24.0,2
97,Jeremy Swayman,27.0,5
98,Travis Konecny,,3
99,Brock Faber,,4
100,Josh Morrissey,,4
101,Brayden Point,,1
102,Sam Bennett,,1
103,Erik Karlsson,,4
104,Tom Wilson,,3
105,Connor Bedard,21.0,1
106,Ryan O'Reilly,,1
107,Joel Hofer,,5
108,Mike Matheson,32.0,4
