Player,PPG,Total Points,GP,Position,Year
Victor Olofsson,4.32,25.900000000000002,6,Right Wing,2019
Clayton Keller,2.81,230.5,82,Center,2019
Taylor Hall,5.64,186.0,33,Left Wing,2019
Andrei Svechnikov,3.02,247.8,82,Right Wing,2019
Nico Hischier,3.71,256.1,69,Center,2019
Carter Hutton,5.5,263.78000000000003,48,Goalie,2019
Travis Konecny,3.35,274.4,82,Center,2019
Matt Dumba,5.67,181.4,32,Defense,2019
Mikhail Sergachev,3.53,264.6,75,Defense,2019
Carl Grundstrom,2.76,41.4,15,Right Wing,2019
Kevin Shattenkirk,3.01,219.5,73,Defense,2019
Josh Manson,2.69,199.0,74,Defense,2019
Sami Vatanen,3.02,150.9,50,Defense,2019
Mikko Koivu,3.3,158.3,48,Center,2019
Nick Schmaltz,2.72,108.80000000000001,40,Center,2019
Kasperi Kapanen,3.31,258.0,78,Right Wing,2019
Nick Bjugstad,3.14,201.10000000000002,64,Center,2019
Patrick Maroon,2.68,198.29999999999998,74,Left Wing,2019
Damon Severson,3.37,276.5,82,Defense,2019
Josh Morrissey,4.33,255.7,59,Defense,2019
Derick Brassard,2.06,144.3,70,Center,2019
Oscar Klefbom,3.73,227.39999999999998,61,Defense,2019
Sam Montembeault,5.34,53.44,10,Goalie,2019
Neal Pionk,3.35,244.8,73,Defense,2019
Vladislav Namestnikov,2.91,227.0,78,Center,2019
Antti Raanta,5.16,61.959999999999994,12,Goalie,2019
Brian Elliott,6.08,139.84,23,Goalie,2019
Marc-Edouard Vlasic,2.58,185.4,72,Defense,2019
Pavel Buchnevich,3.18,203.20000000000002,64,Left Wing,2019
Michael Matheson,3.08,230.9,75,Defense,2019
Phillip Danault,3.77,305.6,81,Left Wing,2019
Keith Kinkaid,5.32,201.98,38,Goalie,2019
Erik Haula,2.67,40.0,15,Left Wing,2019
Juuse Saros,7.63,206.12,27,Goalie,2019
Chris Tierney,2.64,214.0,81,Center,2019
Roberto Luongo,5.68,227.26,40,Goalie,2019
Zdeno Chara,3.15,195.2,62,Defense,2019
Charlie Coyle,2.62,212.6,81,Left Wing,2019
James Neal,2.06,129.9,63,Left Wing,2019
Kyle Okposo,2.5,195.29999999999998,78,Right Wing,2019
Mike Green,4.31,185.3,43,Defense,2019
Cody Eakin,3.27,255.20000000000002,78,Center,2019
Jared McCann,2.95,229.9,78,Center,2019
Nolan Patrick,2.36,170.2,72,Center,2019
Jake Chelios,1.24,6.2,5,Defense,2019
Dennis Cholowski,2.25,116.9,52,Defense,2019
Milan Lucic,2.47,194.8,79,Left Wing,2019
Jason Pominville,2.12,154.9,73,Right Wing,2019
Brett Connolly,3.02,244.9,81,Right Wing,2019
Max Veronneau,1.38,16.5,12,Right Wing,2019
J.T. Compher,3.09,203.8,66,Left Wing,2019
Travis Zajac,2.88,230.3,80,Center,2019
Thomas Vanek,2.79,178.8,64,Left Wing,2019
Joonas Donskoi,2.49,198.8,80,Right Wing,2019
Casey DeSmith,7.55,226.62,30,Goalie,2019
Bryan Rust,3.58,257.59999999999997,72,Right Wing,2019
Brady Skjei,3.31,258.3,78,Defense,2019
Tyler Bozak,2.87,206.29999999999998,72,Center,2019
Adam Larsson,2.86,234.4,82,Defense,2019
Ondrej Kase,3.98,119.49999999999999,30,Right Wing,2019
Brandon Tanev,3.5,279.6,80,Left Wing,2019
Henri Jokiharju,2.44,92.6,38,Defense,2019
Ryan Reaves,2.78,222.7,80,Right Wing,2019
Cory Schneider,4.81,110.56,23,Goalie,2019
Lars Eller,2.72,220.39999999999998,81,Center,2019
Linus Ullmark,6.36,216.14000000000001,34,Goalie,2019
Anton Stralman,3.2,150.5,47,Defense,2019
Samuel Girard,2.72,223.0,82,Defense,2019
Cam Ward,6.81,197.56,29,Goalie,2019
Brendan Perlini,1.99,135.10000000000002,68,Left Wing,2019
Brandon Pirri,3.77,116.9,31,Center,2019
Roope Hintz,2.56,148.6,58,Left Wing,2019
Adam Lowry,2.81,219.3,78,Left Wing,2019
Alexander Wennberg,1.8,135.1,75,Center,2019
Michael Rasmussen,2.01,124.7,62,Center,2019
Ty Rattie,1.52,76.1,50,Right Wing,2019
Anthony Duclair,2.58,191.2,74,Left Wing,2019
Jack Johnson,2.8,229.39999999999998,82,Defense,2019
Jamie Oleksiak,2.66,151.5,57,Defense,2019
Erik Cernak,4.05,234.70000000000002,58,Defense,2019
Eeli Tolvanen,3.27,13.1,4,Right Wing,2019
Quinn Hughes,3.52,17.6,5,Defense,2019
Conor Sheary,2.16,168.2,78,Left Wing,2019
Dion Phaneuf,1.7,113.8,67,Defense,2019
Nikita Zadorov,3.23,226.39999999999998,70,Defense,2019
Alex Goligoski,3.22,244.9,76,Defense,2019
Mackenzie Blackwood,6.53,137.08,21,Goalie,2019
David Savard,3.14,257.7,82,Defense,2019
Artturi Lehkonen,2.66,218.3,82,Left Wing,2019
Jason Spezza,1.96,148.70000000000002,76,Center,2019
Dylan DeMelo,2.99,230.2,77,Defense,2019
Zack Kassian,2.67,210.60000000000002,79,Right Wing,2019
Luke Glendening,2.88,224.3,78,Right Wing,2019
Tanner Pearson,2.37,189.8,80,Left Wing,2019
James Reimer,5.89,170.92,29,Goalie,2019
Anthony Beauvillier,2.44,197.70000000000002,81,Left Wing,2019
Filip Zadina,1.71,15.399999999999999,9,Right Wing,2019
Adam Johnson,2.23,13.399999999999999,6,Center,2019
Jake Virtanen,2.85,199.7,70,Right Wing,2019
Calvin de Haan,2.63,194.5,74,Defense,2019
Sam Steel,3.26,71.7,22,Center,2019
Ryan Miller,6.76,114.94,17,Goalie,2019
Jesper Bratt,3.03,154.3,51,Left Wing,2019
Colin White,2.62,185.7,71,Center,2019
Nick Ritchie,3.68,220.70000000000002,60,Left Wing,2019
Taro Hirose,3.29,32.900000000000006,10,Left Wing,2019
Brad Richardson,3.22,212.6,66,Right Wing,2019
Ashton Sautner,1.34,22.8,17,Defense,2019
Cedric Paquette,2.88,230.60000000000002,80,Center,2019
Anders Nilsson,5.66,192.34,34,Goalie,2019
William Carrier,2.73,147.3,54,Left Wing,2019
Travis Hamonic,3.54,244.2,69,Defense,2019
Derek Ryan,2.61,211.49999999999997,81,Center,2019
Ryan Kuffner,0.13,1.3,10,Left Wing,2019
Austin Watson,4.06,150.2,37,Left Wing,2019
Miles Wood,2.85,179.7,63,Left Wing,2019
Andy Greene,3.13,256.7,82,Defense,2019
Filip Chytil,1.6,120.2,75,Center,2019
Richard Panik,3.02,226.29999999999998,75,Right Wing,2019
